i,lexeme,sparsity_increase,norm_sparsity_increase,entropy_increase
65,against,0.06686346164749501,0.021619467965449002,4.3605458438732265
66,two,-0.5032033802445026,0.009000354804510446,-1.2107543633271451
67,world,-0.5065615695138721,-0.0009174022627209677,-0.030923884179319572
68,first,-0.33035139986397066,0.005847960397043939,0.5452283546138339
69,Jesus,-0.4778496305358635,0.008460599107046662,1.6152676641054915
70,brother,-0.11898355477812661,-0.03666958821202737,0.7497802236355731
71,sithen,-0.46873492876580247,0.0010851504348913243,1.527496648202678
72,ysee,-0.3943671722867803,0.04359961113785771,0.1732469000047594
73,water,-0.37693285172942836,0.0014606083823193172,1.727200496705849
74,word,-0.3867739408809854,0.008291335209559714,0.10341440167668182
75,a the,-0.7100905526620593,-0.026380319059803536,-0.12506214494829693
76,work,-0.26536371406045234,0.025154267264840158,1.4164219444170865
77,child,0.3033573599309056,-0.011368842425164116,1.350345024831832
78,woman,-0.1811610180487726,0.021160756980306394,0.6806159143846839
79,folk,-0.5852176355000216,-0.0219878353052132,1.6252072979047334
80,ever,-0.5320557117715614,-0.010433365093447056,2.5102461494285775
81,mine,-0.6209301495202046,-0.016401103048794385,0.0
82,mickle,-0.34518694406803885,0.0025082869846071443,2.269609164314282
83,body,-0.4391912906965638,0.005328522515607226,0.6500058779073505
84,hir,-0.5492546656658419,8.989719538088359e-05,0.0
85,-ful,-0.5725008071646975,-0.0015344387100262313,0.0
86,think,-0.3056674318739514,0.003597902087692284,0.9940347001782781
87,time,-0.39381809738110807,0.022391705346752944,-0.2441755285938011
88,forth,-0.5443472089422894,0.013831295002898258,0.8799919630274545
89,give,-0.34179867802163955,0.019046189466630836,0.5278134685952076
90,life,-0.5388416112746404,-0.00048538535489761614,0.7322754723515121
91,T,-0.3931150300881905,-0.02418506986155422,0.8313518202309804
92,only,-0.357980249080887,-0.003066084578088879,1.7314236083547951
93,son,-0.5646562637168682,-0.002122356373975509,-0.3353738736650629
94,three,-0.5961008517165078,-0.010221001386491513,-0.31283839608649155
95,sone,-0.6817836742172867,-0.026868123436724622,0.0
96,name,-0.5808505842520173,-0.012415470856780408,-0.7555109813341881
97,about,-0.48780230973836414,-0.0049864611530490155,1.0493435456772606
98,each,-0.9222715818842122,0.016055790110386492,-0.31613576660580245
99,wife,-0.4558269560481403,-0.0009927771190105794,1.6168752448863954
100,bishop,0.09473617598535444,0.016911364951430752,1.394844875658947
101,ende,-0.35879852129490075,0.010542798355234084,0.08354288831032233
102,bring,-0.24882421323071657,0.01190526716550755,1.6420081951381937
103,thus,-0.7649964692884863,-0.027936818849843448,0.9837519600221517
104,holy,-0.27374759148085204,-0.007049345106467708,0.2572453606888814
105,John,-0.30375367846611834,0.03303147382026106,1.63527818640321
106,nim,-0.5190376260006611,-0.0017702156780096123,-0.24743744029476922
107,either,-0.8068854218845054,-0.019126064221423267,2.5079151370414587
108,nan,-0.4009778712167904,0.01964067809126835,0.0
109,help,-0.4080005382961547,0.002040248960749058,0.05306591390329318
110,whom,-0.24439072887845192,0.04394828238211079,-0.9401439774148116
111,earth,-0.48293248020651536,-0.002761675781461803,0.4905542256919422
112,while,-0.455917884641007,0.0039987565985646345,1.9553327441830963
